time,geo,I → H
2022-10-01,04,3
2022-10-02,04,3
2022-10-03,04,3
2022-10-04,04,2
2022-10-05,04,1
2022-10-06,04,3
2022-10-07,04,0
2022-10-08,04,0
2022-10-09,04,3
2022-10-10,04,2
2022-10-11,04,4
2022-10-12,04,2
2022-10-13,04,5
2022-10-14,04,4
2022-10-15,04,3
2022-10-16,04,4
2022-10-17,04,1
2022-10-18,04,1
2022-10-19,04,5
2022-10-20,04,4
2022-10-21,04,7
2022-10-22,04,3
2022-10-23,04,4
2022-10-24,04,6
2022-10-25,04,7
2022-10-26,04,3
2022-10-27,04,5
2022-10-28,04,9
2022-10-29,04,7
2022-10-30,04,7
2022-10-31,04,7
2022-11-01,04,9
2022-11-02,04,14
2022-11-03,04,9
2022-11-04,04,14
2022-11-05,04,16
2022-11-06,04,10
2022-11-07,04,15
2022-11-08,04,14
2022-11-09,04,19
2022-11-10,04,20
2022-11-11,04,10
2022-11-12,04,16
2022-11-13,04,16
2022-11-14,04,22
2022-11-15,04,16
2022-11-16,04,28
2022-11-17,04,17
2022-11-18,04,22
2022-11-19,04,39
2022-11-20,04,35
2022-11-21,04,21
2022-11-22,04,35
2022-11-23,04,29
2022-11-24,04,34
2022-11-25,04,33
2022-11-26,04,33
2022-11-27,04,38
2022-11-28,04,32
2022-11-29,04,33
2022-11-30,04,28
2022-12-01,04,34
2022-12-02,04,41
2022-12-03,04,34
2022-12-04,04,51
2022-12-05,04,61
2022-12-06,04,50
2022-12-07,04,46
2022-12-08,04,53
2022-12-09,04,44
2022-12-10,04,39
2022-12-11,04,64
2022-12-12,04,57
2022-12-13,04,75
2022-12-14,04,59
2022-12-15,04,57
2022-12-16,04,60
2022-12-17,04,80
2022-12-18,04,71
2022-12-19,04,75
2022-12-20,04,65
2022-12-21,04,87
2022-12-22,04,93
2022-12-23,04,78
2022-12-24,04,88
2022-12-25,04,76
2022-12-26,04,81
2022-12-27,04,83
2022-12-28,04,107
2022-12-29,04,101
2022-12-30,04,93
2022-12-31,04,81
2023-01-01,04,105
2023-01-02,04,111
2023-01-03,04,82
2023-01-04,04,120
2023-01-05,04,102
2023-01-06,04,94
