Date,fips,Cases
2022-10-01,04,12
2022-10-08,04,15
2022-10-15,04,11
2022-10-22,04,22
2022-10-29,04,27
2022-11-05,04,59
2022-11-12,04,130
2022-11-19,04,303
2022-11-26,04,575
2022-12-03,04,793
2022-12-10,04,754
2022-12-17,04,555
2022-12-24,04,573
2022-12-31,04,612
2023-01-07,04,367
2023-01-14,04,138
2023-01-21,04,86
2023-01-28,04,49
2023-02-04,04,59
2023-02-11,04,70
2023-02-18,04,45
2023-02-25,04,48
2023-03-04,04,52
2023-03-11,04,56
2023-03-18,04,45
2023-03-25,04,42
2023-04-01,04,29
2023-04-08,04,35
2023-04-15,04,61
2023-04-22,04,46
2023-04-29,04,46
2023-05-06,04,40
2023-05-13,04,57
2023-05-20,04,56
2023-05-27,04,59
2023-06-03,04,54
2023-06-10,04,71
2023-06-17,04,38
2023-06-24,04,38
2023-07-01,04,24
2023-07-08,04,26
2023-07-15,04,29
2023-07-22,04,8
2023-07-29,04,15
2023-08-05,04,13
2023-08-12,04,7
2023-08-19,04,3
2023-08-26,04,21
2023-09-02,04,22
2023-09-09,04,6
2023-09-16,04,12
2023-09-23,04,9
2023-09-30,04,24
