Year,County,Young,Adult,Elderly
2015-01-01,"Adams County, Colorado",1851532,4074769,1188384
2015-01-01,"Alamosa County, Colorado",1856301,4084131,1190653
2015-01-01,"Arapahoe County, Colorado",2014176,4454621,1270620
2015-01-01,"Archuleta County, Colorado",2016643,4461413,1273669
2015-01-01,"Baca County, Colorado",2017585,4463257,1274689
2015-01-01,"Bent County, Colorado",2018665,4467205,1275676
2015-01-01,"Boulder County, Colorado",2089239,4665898,1316568
2015-01-01,"Broomfield County, Colorado",2104936,4703191,1324301
2015-01-01,"Chaffee County, Colorado",2108104,4713871,1328898
2015-01-01,"Cheyenne County, Colorado",2108816,4715034,1329169
2015-01-01,"Clear Creek County, Colorado",2110492,4720877,1330918
2015-01-01,"Conejos County, Colorado",2112952,4725210,1332487
2015-01-01,"Costilla County, Colorado",2113823,4727082,1333439
2015-01-01,"Crowley County, Colorado",2115217,4730592,1334207
2015-01-01,"Custer County, Colorado",2116145,4732710,1335604
2015-01-01,"Delta County, Colorado",2122991,4748756,1343077
2015-01-01,"Denver County, Colorado",2265760,5176365,1422456
2015-01-01,"Dolores County, Colorado",2266320,5177385,1422883
2015-01-01,"Douglas County, Colorado",2358824,5358513,1456340
2015-01-01,"Eagle County, Colorado",2371668,5393725,1460976
2015-01-01,"Elbert County, Colorado",2377659,5408302,1464411
2015-01-01,"El Paso County, Colorado",2554444,5803740,1547231
2015-01-01,"Fremont County, Colorado",2562780,5832340,1557237
2015-01-01,"Garfield County, Colorado",2578646,5866871,1564053
2015-01-01,"Gilpin County, Colorado",2579835,5870674,1564772
2015-01-01,"Grand County, Colorado",2582712,5879999,1567002
2015-01-01,"Gunnison County, Colorado",2586292,5890332,1568848
2015-01-01,"Hinsdale County, Colorado",2586450,5890790,1569124
2015-01-01,"Huerfano County, Colorado",2587643,5894174,1571184
2015-01-01,"Jackson County, Colorado",2588011,5894936,1571512
2015-01-01,"Jefferson County, Colorado",2712300,6234875,1659737
2015-01-01,"Kiowa County, Colorado",2712791,6235635,1660053
2015-01-01,"Kit Carson County, Colorado",2714835,6240142,1661589
2015-01-01,"Lake County, Colorado",2716760,6244872,1662438
2015-01-01,"La Plata County, Colorado",2728349,6278399,1670621
2015-01-01,"Larimer County, Colorado",2800151,6476832,1718759
2015-01-01,"Las Animas County, Colorado",2803375,6484921,1722077
2015-01-01,"Lincoln County, Colorado",2804651,6488245,1723084
2015-01-01,"Logan County, Colorado",2809490,6501598,1726944
2015-01-01,"Mesa County, Colorado",2845533,6586154,1754195
2015-01-01,"Mineral County, Colorado",2845730,6586511,1754512
2015-01-01,"Moffat County, Colorado",2849439,6594205,1756344
2015-01-01,"Montezuma County, Colorado",2855749,6608266,1761798
2015-01-01,"Montrose County, Colorado",2865524,6630147,1770969
2015-01-01,"Morgan County, Colorado",2873533,6645857,1775622
2015-01-01,"Otero County, Colorado",2878294,6655896,1779417
2015-01-01,"Ouray County, Colorado",2879141,6658338,1780818
2015-01-01,"Park County, Colorado",2882065,6668721,1783714
2015-01-01,"Phillips County, Colorado",2883268,6670980,1784725
2015-01-01,"Pitkin County, Colorado",2886532,6682231,1787773
2015-01-01,"Prowers County, Colorado",2889963,6688935,1789890
2015-01-01,"Pueblo County, Colorado",2930275,6779956,1820087
2015-01-01,"Rio Blanco County, Colorado",2932172,6783911,1821058
2015-01-01,"Rio Grande County, Colorado",2935220,6790432,1823353
2015-01-01,"Routt County, Colorado",2940427,6805904,1826410
2015-01-01,"Saguache County, Colorado",2941937,6809305,1827752
2015-01-01,"San Juan County, Colorado",2942131,6809710,1827881
2015-01-01,"San Miguel County, Colorado",2943800,6814951,1828794
2015-01-01,"Sedgwick County, Colorado",2944441,6816139,1829469
2015-01-01,"Summit County, Colorado",2949634,6836707,1832798
2015-01-01,"Teller County, Colorado",2954457,6850664,1837484
2015-01-01,"Washington County, Colorado",2955570,6853303,1838547
2015-01-01,"Weld County, Colorado",3033101,7013591,1871788
2015-01-01,"Yuma County, Colorado",3036057,7019051,1873706
2015-01-01,"Churchill County, Nevada",3042195,7032697,1878242
2015-01-01,"Clark County, Nevada",3556492,8260442,2171847
