date,geoid,value1,value2
2022-09-15,04,1,6
2022-09-16,04,2,7
2022-09-17,04,1,6
2022-09-18,04,1,5
2022-09-19,04,0,4
2022-09-20,04,2,7
2022-09-21,04,0,6
2022-09-22,04,1,5
2022-09-23,04,3,7
2022-09-24,04,2,6
2022-09-25,04,1,6
2022-09-26,04,2,9
2022-09-27,04,0,7
2022-09-28,04,3,8
2022-09-29,04,4,8
2022-09-30,04,0,3
2022-10-01,04,0,1
2022-10-02,04,1,2
2022-10-03,04,5,7
2022-10-04,04,3,7
2022-10-05,04,3,8
2022-10-06,04,2,10
2022-10-07,04,1,4
2022-10-08,04,3,5
2022-10-09,04,1,8
2022-10-10,04,0,5
2022-10-11,04,1,5
2022-10-12,04,4,10
2022-10-13,04,1,4
2022-10-14,04,0,9
2022-10-15,04,4,10
2022-10-16,04,4,13
2022-10-17,04,3,12
2022-10-18,04,3,14
2022-10-19,04,7,15
2022-10-20,04,2,10
2022-10-21,04,3,13
2022-10-22,04,2,12
2022-10-23,04,2,10
2022-10-24,04,2,10
2022-10-25,04,1,7
2022-10-26,04,3,7
2022-10-27,04,12,21
2022-10-28,04,7,21
2022-10-29,04,2,18
2022-10-30,04,7,24
2022-10-31,04,4,23
2022-11-01,04,4,24
2022-11-02,04,12,33
2022-11-03,04,14,42
2022-11-04,04,18,42
2022-11-05,04,20,52
2022-11-06,04,12,43
2022-11-07,04,22,54
2022-11-08,04,11,37
2022-11-09,04,22,53
2022-11-10,04,24,62
2022-11-11,04,24,67
2022-11-12,04,21,71
2022-11-13,04,29,81
2022-11-14,04,40,89
2022-11-15,04,44,100
2022-11-16,04,43,107
2022-11-17,04,50,110
2022-11-18,04,55,126
2022-11-19,04,52,136
2022-11-20,04,55,142
2022-11-21,04,83,175
2022-11-22,04,70,190
2022-11-23,04,76,193
2022-11-24,04,98,196
2022-11-25,04,93,216
2022-11-26,04,102,281
2022-11-27,04,90,302
2022-11-28,04,104,302
2022-11-29,04,130,351
2022-11-30,04,115,360
2022-12-01,04,127,398
2022-12-02,04,125,415
2022-12-03,04,112,393
2022-12-04,04,108,395
2022-12-05,04,103,413
2022-12-06,04,125,413
2022-12-07,04,134,406
2022-12-08,04,138,447
2022-12-09,04,94,421
2022-12-10,04,82,376
2022-12-11,04,83,377
2022-12-12,04,98,385
2022-12-13,04,92,368
2022-12-14,04,90,355
2022-12-15,04,68,350
2022-12-16,04,73,347
2022-12-17,04,77,334
2022-12-18,04,65,333
2022-12-19,04,81,354
2022-12-20,04,76,341
2022-12-21,04,83,336
2022-12-22,04,104,366
2022-12-23,04,88,375
2022-12-24,04,90,367
2022-12-25,04,84,354
2022-12-26,04,81,370
2022-12-27,04,83,401
2022-12-28,04,117,414
2022-12-29,04,127,444
2022-12-30,04,92,429
2022-12-31,04,80,391
2023-01-01,04,76,388
2023-01-02,04,69,377
2023-01-03,04,65,361
2023-01-04,04,58,336
2023-01-05,04,54,304
2023-01-06,04,36,269
2023-01-07,04,30,235
2023-01-08,04,38,234
2023-01-09,04,25,234
2023-01-10,04,24,211
2023-01-11,04,22,199
2023-01-12,04,19,184
2023-01-13,04,23,158
2023-01-14,04,13,130
2023-01-15,04,14,119
2023-01-16,04,21,125
2023-01-17,04,19,135
2023-01-18,04,17,118
2023-01-19,04,17,107
2023-01-20,04,17,108
2023-01-21,04,14,104
2023-01-22,04,7,84
2023-01-23,04,13,122
2023-01-24,04,5,78
2023-01-25,04,5,60
2023-01-26,04,7,63
2023-01-27,04,7,102
2023-01-28,04,13,65
2023-01-29,04,5,67
2023-01-30,04,3,55
2023-01-31,04,8,51
2023-02-01,04,11,52
2023-02-02,04,12,56
2023-02-03,04,14,62
2023-02-04,04,10,52
2023-02-05,04,13,55
2023-02-06,04,9,46
2023-02-07,04,10,48
2023-02-08,04,7,41
2023-02-09,04,10,50
2023-02-10,04,6,43
2023-02-11,04,7,42
2023-02-12,04,3,37
2023-02-13,04,8,34
2023-02-14,04,7,37
2023-02-15,04,2,30
2023-02-16,04,4,31
2023-02-17,04,7,37
2023-02-18,04,7,38
2023-02-19,04,3,34
2023-02-20,04,7,41
2023-02-21,04,8,42
2023-02-22,04,9,44
2023-02-23,04,6,39
2023-02-24,04,8,30
2023-02-25,04,4,28
2023-02-26,04,11,32
2023-02-27,04,7,35
2023-02-28,04,7,32
2023-03-01,04,9,34
2023-03-02,04,6,27
2023-03-03,04,4,30
2023-03-04,04,6,33
2023-03-05,04,5,28
2023-03-06,04,4,38
2023-03-07,04,11,39
2023-03-08,04,3,25
2023-03-09,04,7,30
2023-03-10,04,5,32
2023-03-11,04,8,31
2023-03-12,04,7,31
2023-03-13,04,12,39
2023-03-14,04,9,43
2023-03-15,04,10,37
2023-03-16,04,9,40
2022-09-15,08,0,4
2022-09-16,08,0,3
2022-09-17,08,0,2
2022-09-18,08,1,3
2022-09-19,08,0,2
2022-09-20,08,0,3
2022-09-21,08,1,3
2022-09-22,08,2,2
2022-09-23,08,0,1
2022-09-24,08,0,1
2022-09-25,08,1,2
2022-09-26,08,1,1
2022-09-27,08,0,2
2022-09-28,08,0,2
2022-09-29,08,1,2
2022-09-30,08,0,0
2022-10-01,08,0,0
2022-10-02,08,1,1
2022-10-03,08,0,0
2022-10-04,08,0,0
2022-10-05,08,0,0
2022-10-06,08,1,1
2022-10-07,08,0,1
2022-10-08,08,0,1
2022-10-09,08,0,0
2022-10-10,08,0,2
2022-10-11,08,0,1
2022-10-12,08,0,1
2022-10-13,08,0,1
2022-10-14,08,1,3
2022-10-15,08,2,4
2022-10-16,08,2,3
2022-10-17,08,1,3
2022-10-18,08,1,4
2022-10-19,08,1,2
2022-10-20,08,1,2
2022-10-21,08,3,5
2022-10-22,08,5,9
2022-10-23,08,3,6
2022-10-24,08,6,14
2022-10-25,08,4,11
2022-10-26,08,5,11
2022-10-27,08,1,8
2022-10-28,08,4,8
2022-10-29,08,4,11
2022-10-30,08,8,14
2022-10-31,08,9,14
2022-11-01,08,5,10
2022-11-02,08,3,11
2022-11-03,08,4,8
2022-11-04,08,2,73
2022-11-05,08,4,7
2022-11-06,08,5,10
2022-11-07,08,6,16
2022-11-08,08,0,16
2022-11-09,08,3,21
2022-11-10,08,15,26
2022-11-11,08,20,29
2022-11-12,08,9,36
2022-11-13,08,8,34
2022-11-14,08,17,36
2022-11-15,08,13,32
2022-11-16,08,14,36
2022-11-17,08,25,51
2022-11-18,08,17,55
2022-11-19,08,13,59
2022-11-20,08,15,59
2022-11-21,08,18,66
2022-11-22,08,18,80
2022-11-23,08,43,105
2022-11-24,08,20,98
2022-11-25,08,16,87
2022-11-26,08,18,78
2022-11-27,08,24,129
2022-11-28,08,22,132
2022-11-29,08,20,123
2022-11-30,08,23,107
2022-12-01,08,29,148
2022-12-02,08,19,154
2022-12-03,08,27,144
2022-12-04,08,20,109
2022-12-05,08,20,124
2022-12-06,08,25,157
2022-12-07,08,27,156
2022-12-08,08,55,115
2022-12-09,08,20,132
2022-12-10,08,70,154
2022-12-11,08,26,164
2022-12-12,08,23,177
2022-12-13,08,34,158
2022-12-14,08,27,155
2022-12-15,08,49,165
2022-12-16,08,44,155
2022-12-17,08,51,173
2022-12-18,08,27,169
2022-12-19,08,29,167
2022-12-20,08,49,160
2022-12-21,08,88,139
2022-12-22,08,56,172
2022-12-23,08,51,153
2022-12-24,08,42,145
