0,1,2
0,0,0
8,8,8
1,1,1
7,7,7
12,12,12
5,5,5
13,13,13
25,25,25
26,26,26
30,30,30
23,23,23
21,21,21
31,31,31
50,50,50
55,55,55
77,77,77
73,73,73
100,100,100
123,123,123
163,163,163
219,219,219
207,207,207
273,273,273
302,302,302
386,386,386
464,464,464
503,503,503
632,632,632
723,723,723
882,882,882
936,936,936
1139,1139,1139
1284,1284,1284
1410,1410,1410
1605,1605,1605
1721,1721,1721
1899,1899,1899
2032,2032,2032
2088,2088,2088
2159,2159,2159
2067,2067,2067
2254,2254,2254
2193,2193,2193
2214,2214,2214
2078,2078,2078
2077,2077,2077
1923,1923,1923
1807,1807,1807
1664,1664,1664
1528,1528,1528
1398,1398,1398
1351,1351,1351
1148,1148,1148
1060,1060,1060
995,995,995
893,893,893
803,803,803
741,741,741
656,656,656
586,586,586
532,532,532
493,493,493
444,444,444
412,412,412
313,313,313
352,352,352
268,268,268
265,265,265
239,239,239
188,188,188
196,196,196
155,155,155
157,157,157
119,119,119
127,127,127
124,124,124
126,126,126
96,96,96
69,69,69
71,71,71
70,70,70
62,62,62
53,53,53
55,55,55
52,52,52
57,57,57
48,48,48
36,36,36
34,34,34
48,48,48
43,43,43
37,37,37
27,27,27
26,26,26
25,25,25
18,18,18
20,20,20
15,15,15
21,21,21
10,10,10
20,20,20
16,16,16
16,16,16
17,17,17
13,13,13
10,10,10
7,7,7
12,12,12
10,10,10
6,6,6
5,5,5
3,3,3
11,11,11
10,10,10
8,8,8
8,8,8
2,2,2
4,4,4
5,5,5
2,2,2
