date,geoid,value
2022-09-15,04,1.0
2022-09-15,08,0.0
2022-09-15,32,2.0
2022-09-15,35,1.0
2022-09-16,35,2.0
2022-09-16,04,2.0
2022-09-16,32,2.0
2022-09-16,08,0.0
2022-09-17,32,0.0
2022-09-17,08,0.0
2022-09-17,04,1.0
2022-09-17,35,0.0
2022-09-18,04,1.0
2022-09-18,08,1.0
2022-09-18,32,0.0
2022-09-18,35,2.0
2022-09-19,08,0.0
2022-09-19,35,2.0
2022-09-19,04,0.0
2022-09-19,32,0.0
2022-09-20,35,3.0
2022-09-20,04,2.0
2022-09-20,32,0.0
2022-09-20,08,0.0
2022-09-21,32,1.0
2022-09-21,35,1.0
2022-09-21,04,0.0
2022-09-21,08,1.0
2022-09-22,35,1.0
2022-09-22,08,2.0
2022-09-22,32,0.0
2022-09-22,04,1.0
2022-09-23,08,0.0
2022-09-23,04,3.0
2022-09-23,35,1.0
2022-09-23,32,3.0
2022-09-24,08,0.0
2022-09-24,35,0.0
2022-09-24,32,2.0
2022-09-24,04,2.0
2022-09-25,08,1.0
2022-09-25,35,1.0
2022-09-25,32,3.0
2022-09-25,04,1.0
2022-09-26,08,1.0
2022-09-26,32,0.0
2022-09-26,04,2.0
2022-09-26,35,4.0
2022-09-27,32,0.0
2022-09-27,04,0.0
2022-09-27,08,0.0
2022-09-27,35,1.0
2022-09-28,35,1.0
2022-09-28,08,0.0
2022-09-28,04,3.0
2022-09-28,32,1.0
2022-09-29,04,4.0
2022-09-29,35,3.0
2022-09-29,32,2.0
2022-09-29,08,1.0
2022-09-30,04,0.0
2022-09-30,32,5.0
2022-09-30,35,5.0
2022-09-30,08,0.0
2022-10-01,04,0.0
2022-10-01,35,0.0
2022-10-01,08,0.0
2022-10-01,32,3.0
2022-10-02,08,1.0
2022-10-02,32,1.0
2022-10-02,35,0.0
2022-10-02,04,1.0
2022-10-03,35,5.0
2022-10-03,32,4.0
2022-10-03,08,0.0
2022-10-03,04,5.0
2022-10-04,32,3.0
2022-10-04,08,0.0
2022-10-04,35,7.0
2022-10-04,04,3.0
2022-10-05,32,3.0
2022-10-05,35,4.0
2022-10-05,08,0.0
2022-10-05,04,3.0
2022-10-06,35,5.0
2022-10-06,04,2.0
2022-10-06,32,4.0
2022-10-06,08,1.0
2022-10-07,04,1.0
2022-10-07,08,0.0
2022-10-07,35,5.0
2022-10-07,32,4.0
2022-10-08,32,6.0
2022-10-08,35,6.0
2022-10-08,04,3.0
2022-10-08,08,0.0
2022-10-09,08,0.0
2022-10-09,35,5.0
2022-10-09,32,3.0
2022-10-09,04,1.0
2022-10-10,32,2.0
2022-10-10,08,0.0
2022-10-10,35,0.0
2022-10-10,04,0.0
2022-10-11,35,0.0
2022-10-11,04,1.0
2022-10-11,32,4.0
2022-10-11,08,0.0
2022-10-12,04,4.0
2022-10-12,08,0.0
2022-10-12,35,0.0
2022-10-12,32,6.0
2022-10-13,32,5.0
2022-10-13,08,0.0
2022-10-13,35,1.0
2022-10-13,04,1.0
2022-10-14,35,3.0
2022-10-14,08,1.0
2022-10-14,32,2.0
2022-10-14,04,0.0
2022-10-15,35,3.0
2022-10-15,08,2.0
2022-10-15,04,4.0
2022-10-15,32,2.0
2022-10-16,35,1.0
2022-10-16,08,2.0
2022-10-16,32,1.0
2022-10-16,04,4.0
2022-10-17,35,4.0
2022-10-17,08,1.0
2022-10-17,32,6.0
2022-10-17,04,3.0
2022-10-18,08,1.0
2022-10-18,04,3.0
2022-10-18,35,2.0
2022-10-18,32,4.0
2022-10-19,35,3.0
2022-10-19,08,1.0
2022-10-19,04,7.0
2022-10-19,32,2.0
2022-10-20,32,4.0
2022-10-20,08,1.0
2022-10-20,35,1.0
2022-10-20,04,2.0
2022-10-21,08,3.0
2022-10-21,04,3.0
2022-10-21,32,7.0
2022-10-21,35,3.0
2022-10-22,04,2.0
2022-10-22,35,0.0
2022-10-22,08,5.0
2022-10-22,32,2.0
2022-10-23,08,3.0
2022-10-23,04,2.0
2022-10-23,35,1.0
2022-10-23,32,4.0
2022-10-24,04,2.0
2022-10-24,08,6.0
2022-10-24,32,4.0
2022-10-24,35,1.0
2022-10-25,32,7.0
2022-10-25,35,4.0
2022-10-25,04,1.0
2022-10-25,08,4.0
2022-10-26,08,5.0
2022-10-26,32,8.0
2022-10-26,35,2.0
2022-10-26,04,3.0
2022-10-27,35,2.0
2022-10-27,32,9.0
2022-10-27,08,1.0
2022-10-27,04,12.0
2022-10-28,08,4.0
2022-10-28,35,1.0
2022-10-28,32,11.0
2022-10-28,04,7.0
2022-10-29,08,4.0
2022-10-29,04,2.0
2022-10-29,32,10.0
2022-10-29,35,0.0
2022-10-30,08,8.0
2022-10-30,35,2.0
2022-10-30,04,7.0
2022-10-30,32,7.0
2022-10-31,32,12.0
2022-10-31,04,4.0
2022-10-31,08,9.0
2022-10-31,35,3.0
2022-11-01,32,9.0
2022-11-01,08,5.0
2022-11-01,35,4.0
2022-11-01,04,4.0
2022-11-02,04,12.0
2022-11-02,32,14.0
2022-11-02,08,3.0
2022-11-02,35,3.0
2022-11-03,35,8.0
2022-11-03,04,14.0
2022-11-03,08,4.0
2022-11-03,32,16.0
2022-11-04,35,8.0
2022-11-04,04,18.0
2022-11-04,32,16.0
2022-11-04,08,2.0
2022-11-05,32,16.0
2022-11-05,08,4.0
2022-11-05,04,20.0
2022-11-05,35,1.0
2022-11-06,08,5.0
2022-11-06,35,4.0
2022-11-06,32,14.0
2022-11-06,04,12.0
2022-11-07,08,6.0
2022-11-07,35,12.0
2022-11-07,32,18.0
2022-11-07,04,22.0
2022-11-08,35,14.0
2022-11-08,04,11.0
2022-11-08,08,0.0
2022-11-08,32,24.0
2022-11-09,08,3.0
2022-11-09,32,21.0
2022-11-09,35,11.0
2022-11-09,04,22.0
2022-11-10,32,24.0
2022-11-10,35,13.0
2022-11-10,04,24.0
2022-11-10,08,15.0
2022-11-11,32,27.0
2022-11-11,35,13.0
2022-11-11,08,20.0
2022-11-11,04,24.0
2022-11-12,35,10.0
2022-11-12,04,21.0
2022-11-12,32,21.0
2022-11-12,08,9.0
2022-11-13,08,8.0
2022-11-13,32,19.0
2022-11-13,04,29.0
2022-11-13,35,7.0
2022-11-14,35,14.0
2022-11-14,08,17.0
2022-11-14,32,16.0
2022-11-14,04,40.0
2022-11-15,35,23.0
2022-11-15,04,44.0
2022-11-15,32,28.0
2022-11-15,08,13.0
2022-11-16,35,21.0
2022-11-16,32,25.0
2022-11-16,08,14.0
2022-11-16,04,43.0
2022-11-17,08,25.0
2022-11-17,35,30.0
2022-11-17,04,50.0
2022-11-17,32,25.0
2022-11-18,32,27.0
2022-11-18,35,30.0
2022-11-18,08,17.0
2022-11-18,04,55.0
2022-11-19,35,13.0
2022-11-19,32,23.0
2022-11-19,04,52.0
2022-11-19,08,13.0
2022-11-20,32,15.0
2022-11-20,35,26.0
2022-11-20,04,55.0
2022-11-20,08,15.0
2022-11-21,32,16.0
2022-11-21,08,18.0
2022-11-21,35,28.0
2022-11-21,04,83.0
2022-11-22,35,33.0
2022-11-22,04,70.0
2022-11-22,32,28.0
2022-11-22,08,18.0
2022-11-23,35,22.0
2022-11-23,04,76.0
2022-11-23,32,29.0
2022-11-23,08,43.0
2022-11-24,08,20.0
2022-11-24,04,98.0
2022-11-24,35,40.0
2022-11-24,32,30.0
2022-11-25,08,16.0
2022-11-25,32,19.0
2022-11-25,04,93.0
2022-11-25,35,28.0
2022-11-26,35,53.0
2022-11-26,04,102.0
2022-11-26,08,18.0
2022-11-26,32,39.0
2022-11-27,04,90.0
2022-11-27,08,24.0
2022-11-27,35,48.0
2022-11-27,32,29.0
2022-11-28,32,47.0
2022-11-28,08,22.0
2022-11-28,35,61.0
2022-11-28,04,104.0
2022-11-29,32,49.0
2022-11-29,04,130.0
2022-11-29,08,20.0
2022-11-29,35,58.0
2022-11-30,04,115.0
2022-11-30,35,57.0
2022-11-30,32,57.0
2022-11-30,08,23.0
2022-12-01,32,62.0
2022-12-01,04,127.0
2022-12-01,08,29.0
2022-12-01,35,67.0
2022-12-02,32,56.0
2022-12-02,04,125.0
2022-12-02,35,53.0
2022-12-02,08,19.0
2022-12-03,32,61.0
2022-12-03,08,27.0
2022-12-03,04,112.0
2022-12-03,35,56.0
2022-12-04,32,39.0
2022-12-04,04,108.0
2022-12-04,35,45.0
2022-12-04,08,20.0
2022-12-05,08,20.0
2022-12-05,35,51.0
2022-12-05,04,103.0
2022-12-05,32,38.0
2022-12-06,04,125.0
2022-12-06,32,71.0
2022-12-06,35,44.0
2022-12-06,08,25.0
2022-12-07,04,134.0
2022-12-07,32,73.0
2022-12-07,35,59.0
2022-12-07,08,27.0
2022-12-08,35,61.0
2022-12-08,04,138.0
2022-12-08,32,58.0
2022-12-08,08,55.0
2022-12-09,32,59.0
2022-12-09,08,20.0
2022-12-09,35,59.0
2022-12-09,04,94.0
2022-12-10,08,70.0
2022-12-10,32,71.0
2022-12-10,35,50.0
2022-12-10,04,82.0
2022-12-11,32,47.0
2022-12-11,08,26.0
2022-12-11,04,83.0
2022-12-11,35,42.0
2022-12-12,35,69.0
2022-12-12,04,98.0
2022-12-12,08,23.0
2022-12-12,32,43.0
2022-12-13,35,30.0
2022-12-13,04,92.0
2022-12-13,08,34.0
2022-12-13,32,61.0
2022-12-14,08,27.0
2022-12-14,04,90.0
2022-12-14,32,60.0
2022-12-14,35,25.0
2022-12-15,08,49.0
2022-12-15,04,68.0
2022-12-15,35,31.0
2022-12-15,32,23.0
2022-12-16,04,73.0
2022-12-16,35,29.0
2022-12-16,32,55.0
2022-12-16,08,44.0
2022-12-17,08,51.0
2022-12-17,32,53.0
2022-12-17,35,25.0
2022-12-17,04,77.0
2022-12-18,04,65.0
2022-12-18,35,22.0
2022-12-18,32,56.0
2022-12-18,08,27.0
2022-12-19,08,29.0
2022-12-19,35,39.0
2022-12-19,04,81.0
2022-12-19,32,48.0
2022-12-20,08,49.0
2022-12-20,35,43.0
2022-12-20,04,76.0
2022-12-20,32,59.0
2022-12-21,35,40.0
2022-12-21,04,83.0
2022-12-21,08,88.0
2022-12-21,32,57.0
2022-12-22,32,48.0
2022-12-22,35,34.0
2022-12-22,08,56.0
2022-12-22,04,104.0
2022-12-23,04,88.0
2022-12-23,08,51.0
2022-12-23,35,26.0
2022-12-23,32,44.0
2022-12-24,04,90.0
2022-12-24,08,42.0
2022-12-24,32,49.0
2022-12-24,35,23.0
2022-12-25,08,35.0
2022-12-25,35,27.0
2022-12-25,04,84.0
2022-12-25,32,47.0
2022-12-26,32,47.0
2022-12-26,35,19.0
2022-12-26,04,81.0
2022-12-26,08,53.0
2022-12-27,04,83.0
2022-12-27,08,50.0
2022-12-27,32,25.0
2022-12-27,35,25.0
2022-12-28,35,30.0
2022-12-28,32,47.0
2022-12-28,08,63.0
2022-12-28,04,117.0
2022-12-29,04,127.0
2022-12-29,08,47.0
2022-12-29,35,23.0
2022-12-29,32,46.0
2022-12-30,35,30.0
2022-12-30,04,92.0
2022-12-30,08,39.0
2022-12-30,32,31.0
2022-12-31,32,43.0
2022-12-31,35,25.0
2022-12-31,08,28.0
2022-12-31,04,80.0
2023-01-01,04,76.0
2023-01-01,32,30.0
2023-01-01,35,17.0
2023-01-01,08,31.0
2023-01-02,08,27.0
2023-01-02,04,69.0
2023-01-02,32,21.0
2023-01-02,35,24.0
2023-01-03,32,26.0
2023-01-03,35,21.0
2023-01-03,04,65.0
2023-01-03,08,24.0
2023-01-04,35,18.0
2023-01-04,32,32.0
2023-01-04,04,58.0
2023-01-04,08,25.0
2023-01-05,35,19.0
2023-01-05,32,13.0
2023-01-05,04,54.0
2023-01-05,08,13.0
2023-01-06,04,36.0
2023-01-06,35,13.0
2023-01-06,08,19.0
2023-01-06,32,32.0
2023-01-07,32,25.0
2023-01-07,08,19.0
2023-01-07,35,4.0
2023-01-07,04,30.0
2023-01-08,32,14.0
2023-01-08,08,19.0
2023-01-08,04,38.0
2023-01-08,35,8.0
2023-01-09,32,5.0
2023-01-09,08,18.0
2023-01-09,35,5.0
2023-01-09,04,25.0
2023-01-10,04,24.0
2023-01-10,32,5.0
2023-01-10,08,12.0
2023-01-10,35,7.0
2023-01-11,04,22.0
2023-01-11,35,3.0
2023-01-11,32,4.0
2023-01-11,08,8.0
2023-01-12,04,19.0
2023-01-12,35,5.0
2023-01-12,32,8.0
2023-01-12,08,19.0
2023-01-13,08,10.0
2023-01-13,04,23.0
2023-01-13,35,4.0
2023-01-13,32,10.0
2023-01-14,08,13.0
2023-01-14,35,5.0
2023-01-14,32,7.0
2023-01-14,04,13.0
2023-01-15,32,4.0
2023-01-15,08,5.0
2023-01-15,04,14.0
2023-01-15,35,0.0
2023-01-16,32,6.0
2023-01-16,04,21.0
2023-01-16,08,4.0
2023-01-16,35,4.0
2023-01-17,35,5.0
2023-01-17,08,6.0
2023-01-17,32,6.0
2023-01-17,04,19.0
2023-01-18,35,5.0
2023-01-18,04,17.0
2023-01-18,32,3.0
2023-01-18,08,6.0
2023-01-19,08,4.0
2023-01-19,35,5.0
2023-01-19,32,2.0
2023-01-19,04,17.0
2023-01-20,08,9.0
2023-01-20,04,17.0
2023-01-20,35,1.0
2023-01-20,32,6.0
2023-01-21,32,2.0
2023-01-21,04,14.0
2023-01-21,35,1.0
2023-01-21,08,3.0
2023-01-22,32,5.0
2023-01-22,08,1.0
2023-01-22,04,7.0
2023-01-22,35,0.0
2023-01-23,35,2.0
2023-01-23,04,13.0
2023-01-23,32,3.0
2023-01-23,08,4.0
2023-01-24,32,2.0
2023-01-24,35,2.0
2023-01-24,04,5.0
2023-01-24,08,6.0
2023-01-25,08,5.0
2023-01-25,35,0.0
2023-01-25,32,2.0
2023-01-25,04,5.0
2023-01-26,32,4.0
2023-01-26,35,0.0
2023-01-26,08,6.0
2023-01-26,04,7.0
2023-01-27,08,2.0
2023-01-27,32,3.0
2023-01-27,04,7.0
2023-01-27,35,3.0
2023-01-28,35,4.0
2023-01-28,08,2.0
2023-01-28,04,13.0
2023-01-28,32,2.0
2023-01-29,35,0.0
2023-01-29,08,5.0
2023-01-29,04,5.0
2023-01-29,32,1.0
2023-01-30,32,2.0
2023-01-30,08,5.0
2023-01-30,04,3.0
2023-01-30,35,2.0
2023-01-31,32,1.0
2023-01-31,04,8.0
2023-01-31,08,4.0
2023-01-31,35,1.0
2023-02-01,04,11.0
2023-02-01,32,1.0
2023-02-01,08,5.0
2023-02-01,35,1.0
2023-02-02,35,0.0
2023-02-02,32,1.0
2023-02-02,08,6.0
2023-02-02,04,12.0
2023-02-03,08,9.0
2023-02-03,35,0.0
2023-02-03,32,2.0
2023-02-03,04,14.0
2023-02-04,32,2.0
2023-02-04,08,4.0
2023-02-04,35,0.0
2023-02-04,04,10.0
2023-02-05,32,0.0
2023-02-05,08,5.0
2023-02-05,35,2.0
2023-02-05,04,13.0
2023-02-06,08,4.0
2023-02-06,35,2.0
2023-02-06,04,9.0
2023-02-06,32,4.0
2023-02-07,35,1.0
2023-02-07,04,10.0
2023-02-07,08,2.0
2023-02-07,32,0.0
2023-02-08,32,3.0
2023-02-08,04,7.0
2023-02-08,35,2.0
2023-02-08,08,4.0
2023-02-09,04,10.0
2023-02-09,35,1.0
2023-02-09,08,5.0
2023-02-09,32,0.0
2023-02-10,32,0.0
2023-02-10,08,3.0
2023-02-10,04,6.0
2023-02-10,35,2.0
2023-02-11,35,1.0
2023-02-11,08,4.0
2023-02-11,04,7.0
2023-02-11,32,2.0
2023-02-12,32,0.0
2023-02-12,35,1.0
2023-02-12,04,3.0
2023-02-12,08,2.0
2023-02-13,35,0.0
2023-02-13,04,8.0
2023-02-13,08,5.0
2023-02-13,32,0.0
2023-02-14,35,3.0
2023-02-14,08,3.0
2023-02-14,04,7.0
2023-02-14,32,0.0
2023-02-15,35,3.0
2023-02-15,32,1.0
2023-02-15,04,2.0
2023-02-15,08,4.0
2023-02-16,04,4.0
2023-02-16,08,1.0
2023-02-16,35,3.0
2023-02-16,32,0.0
2023-02-17,04,7.0
2023-02-17,32,2.0
2023-02-17,35,1.0
2023-02-17,08,1.0
2023-02-18,08,1.0
2023-02-18,35,1.0
2023-02-18,32,0.0
2023-02-18,04,7.0
2023-02-19,04,3.0
2023-02-19,32,0.0
2023-02-19,35,0.0
2023-02-19,08,1.0
2023-02-20,32,1.0
2023-02-20,08,6.0
2023-02-20,35,1.0
2023-02-20,04,7.0
2023-02-21,32,2.0
2023-02-21,08,1.0
2023-02-21,04,8.0
2023-02-21,35,1.0
2023-02-22,04,9.0
2023-02-22,08,1.0
2023-02-22,35,1.0
2023-02-22,32,3.0
2023-02-23,35,0.0
2023-02-23,04,6.0
2023-02-23,08,1.0
2023-02-23,32,3.0
2023-02-24,32,1.0
2023-02-24,08,1.0
2023-02-24,04,8.0
2023-02-24,35,0.0
2023-02-25,08,2.0
2023-02-25,04,4.0
2023-02-25,35,0.0
2023-02-25,32,1.0
2023-02-26,08,2.0
2023-02-26,32,1.0
2023-02-26,04,11.0
2023-02-26,35,0.0
2023-02-27,04,7.0
2023-02-27,08,1.0
2023-02-27,32,3.0
2023-02-27,35,1.0
2023-02-28,04,7.0
2023-02-28,08,4.0
2023-02-28,35,0.0
2023-02-28,32,1.0
2023-03-01,35,0.0
2023-03-01,32,5.0
2023-03-01,04,9.0
2023-03-01,08,3.0
