date,geoid,value
2022-09-15,04,5
2022-09-15,08,1
2022-09-15,35,1
2022-09-15,49,0
2022-09-16,04,5
2022-09-16,08,1
2022-09-16,35,1
2022-09-16,49,0
2022-09-17,04,4
2022-09-17,08,1
2022-09-17,35,1
2022-09-17,49,0
2022-09-18,04,4
2022-09-18,08,1
2022-09-18,35,1
2022-09-18,49,0
2022-09-19,04,3
2022-09-19,08,1
2022-09-19,35,1
2022-09-19,49,0
2022-09-20,04,3
2022-09-20,08,1
2022-09-20,35,1
2022-09-20,49,0
2022-09-21,04,2
2022-09-21,08,1
2022-09-21,35,1
2022-09-21,49,0
2022-09-22,04,2
2022-09-22,08,1
2022-09-22,35,1
2022-09-22,49,0
2022-09-23,04,2
2022-09-23,08,1
2022-09-23,35,1
2022-09-23,49,0
2022-09-24,04,1
2022-09-24,08,1
2022-09-24,35,1
2022-09-24,49,0
2022-09-25,04,1
2022-09-25,08,1
2022-09-25,35,1
2022-09-25,49,0
2022-09-26,04,1
2022-09-26,08,1
2022-09-26,35,1
2022-09-26,49,0
2022-09-27,04,1
2022-09-27,08,1
2022-09-27,35,1
2022-09-27,49,0
2022-09-28,04,1
2022-09-28,08,1
2022-09-28,35,1
2022-09-28,49,0
2022-09-29,04,1
2022-09-29,08,0
2022-09-29,35,1
2022-09-29,49,0
2022-09-30,04,1
2022-09-30,08,0
2022-09-30,35,1
2022-09-30,49,0
2022-10-01,04,1
2022-10-01,08,0
2022-10-01,35,2
2022-10-01,49,0
2022-10-02,04,1
2022-10-02,08,0
2022-10-02,35,2
2022-10-02,49,0
2022-10-03,04,1
2022-10-03,08,0
2022-10-03,35,2
2022-10-03,49,0
2022-10-04,04,2
2022-10-04,08,0
2022-10-04,35,2
2022-10-04,49,0
2022-10-05,04,2
2022-10-05,08,0
2022-10-05,35,3
2022-10-05,49,0
2022-10-06,04,2
2022-10-06,08,0
2022-10-06,35,3
2022-10-06,49,0
2022-10-07,04,3
2022-10-07,08,0
2022-10-07,35,3
2022-10-07,49,0
2022-10-08,04,3
2022-10-08,08,0
2022-10-08,35,3
2022-10-08,49,0
2022-10-09,04,3
2022-10-09,08,0
2022-10-09,35,4
2022-10-09,49,0
2022-10-10,04,3
2022-10-10,08,0
2022-10-10,35,4
2022-10-10,49,0
2022-10-11,04,3
2022-10-11,08,0
2022-10-11,35,4
2022-10-11,49,0
2022-10-12,04,2
2022-10-12,08,0
2022-10-12,35,4
2022-10-12,49,0
2022-10-13,04,2
2022-10-13,08,0
2022-10-13,35,4
2022-10-13,49,0
2022-10-14,04,2
2022-10-14,08,0
2022-10-14,35,4
2022-10-14,49,0
2022-10-15,04,1
2022-10-15,08,0
2022-10-15,35,4
2022-10-15,49,0
2022-10-16,04,1
2022-10-16,08,0
2022-10-16,35,3
2022-10-16,49,0
2022-10-17,04,1
2022-10-17,08,0
2022-10-17,35,3
2022-10-17,49,0
2022-10-18,04,2
2022-10-18,08,1
2022-10-18,35,3
2022-10-18,49,1
2022-10-19,04,2
2022-10-19,08,1
2022-10-19,35,3
2022-10-19,49,1
2022-10-20,04,2
2022-10-20,08,1
2022-10-20,35,3
2022-10-20,49,1
2022-10-21,04,3
2022-10-21,08,1
2022-10-21,35,3
2022-10-21,49,1
2022-10-22,04,3
2022-10-22,08,2
2022-10-22,35,3
2022-10-22,49,1
