date,geoid,value
2014-12-29,53033,7.0
2014-12-29,53053,0.0
2014-12-29,53061,0.0
2014-12-29,53073,
2015-01-05,53033,31.0
2015-01-05,53053,0.0
2015-01-05,53061,0.0
2015-01-05,53073,0.0
2015-01-12,53033,96.0
2015-01-12,53053,1.0
2015-01-12,53061,0.0
2015-01-12,53073,0.0
2015-01-19,53033,370.0
2015-01-19,53053,1.0
2015-01-19,53061,0.0
2015-01-19,53073,0.0
2015-01-26,53033,1368.0
2015-01-26,53053,8.0
2015-01-26,53061,0.0
2015-01-26,53073,0.0
2015-02-02,53033,4469.0
2015-02-02,53053,14.0
2015-02-02,53061,3.0
2015-02-02,53073,0.0
2015-02-09,53033,12075.0
2015-02-09,53053,82.0
2015-02-09,53061,20.0
2015-02-09,53073,0.0
2015-02-16,53033,20375.0
2015-02-16,53053,293.0
2015-02-16,53061,87.0
2015-02-16,53073,0.0
2015-02-23,53033,21501.0
2015-02-23,53053,989.0
2015-02-23,53061,315.0
2015-02-23,53073,0.0
2015-03-02,53033,16754.0
2015-03-02,53053,3206.0
2015-03-02,53061,1179.0
2015-03-02,53073,
2015-03-09,53033,11777.0
2015-03-09,53053,6917.0
2015-03-09,53061,3398.0
2015-03-09,53073,
2015-03-16,53033,8130.0
2015-03-16,53053,8938.0
2015-03-16,53061,6523.0
2015-03-16,53073,0.0
2015-03-23,53033,5663.0
2015-03-23,53053,7796.0
2015-03-23,53061,8155.0
2015-03-23,53073,5.0
2015-03-30,53033,4174.0
2015-03-30,53053,5668.0
2015-03-30,53061,6701.0
2015-03-30,53073,11.0
2015-04-06,53033,3422.0
2015-04-06,53053,3788.0
2015-04-06,53061,4766.0
2015-04-06,53073,55.0
2015-04-13,53033,2801.0
2015-04-13,53053,2769.0
2015-04-13,53061,3281.0
2015-04-13,53073,200.0
2015-04-20,53033,
2015-04-20,53053,1868.0
2015-04-20,53061,2317.0
2015-04-20,53073,600.0
2015-04-27,53033,2552.0
2015-04-27,53053,1590.0
2015-04-27,53061,1675.0
2015-04-27,53073,1497.0
2015-05-04,53033,2607.0
2015-05-04,53053,1263.0
2015-05-04,53061,1363.0
2015-05-04,53073,2226.0
2015-05-11,53033,2687.0
2015-05-11,53053,1153.0
2015-05-11,53061,1095.0
2015-05-11,53073,2087.0
2015-05-18,53033,3052.0
2015-05-18,53053,1019.0
2015-05-18,53061,
2015-05-18,53073,1569.0
2015-05-25,53033,1375.0
2015-05-25,53053,441.0
2015-05-25,53061,383.0
2015-05-25,53073,534.0
