date,geoid,value
2015-01-01,53033,0
2015-01-01,53053,0
2015-01-01,53061,0
2015-01-01,53073,0
2015-01-02,53033,2
2015-01-02,53053,0
2015-01-02,53061,0
2015-01-02,53073,0
2015-01-03,53033,0
2015-01-03,53053,0
2015-01-03,53061,0
2015-01-03,53073,0
2015-01-04,53033,3
2015-01-04,53053,0
2015-01-04,53061,0
2015-01-04,53073,0
2015-01-05,53033,0
2015-01-05,53053,0
2015-01-05,53061,0
2015-01-05,53073,0
2015-01-06,53033,2
2015-01-06,53053,0
2015-01-06,53061,0
2015-01-06,53073,0
2015-01-07,53033,1
2015-01-07,53053,0
2015-01-07,53061,0
2015-01-07,53073,0
2015-01-08,53033,2
2015-01-08,53053,0
2015-01-08,53061,0
2015-01-08,53073,0
2015-01-09,53033,5
2015-01-09,53053,0
2015-01-09,53061,0
2015-01-09,53073,0
2015-01-10,53033,2
2015-01-10,53053,0
2015-01-10,53061,0
2015-01-10,53073,0
2015-01-11,53033,1
2015-01-11,53053,0
2015-01-11,53061,0
2015-01-11,53073,0
2015-01-12,53033,4
2015-01-12,53053,0
2015-01-12,53061,0
2015-01-12,53073,0
2015-01-13,53033,3
2015-01-13,53053,0
2015-01-13,53061,0
2015-01-13,53073,0
2015-01-14,53033,5
2015-01-14,53053,0
2015-01-14,53061,0
2015-01-14,53073,0
2015-01-15,53033,9
2015-01-15,53053,0
2015-01-15,53061,0
2015-01-15,53073,0
2015-01-16,53033,8
2015-01-16,53053,0
2015-01-16,53061,0
2015-01-16,53073,0
2015-01-17,53033,6
2015-01-17,53053,0
2015-01-17,53061,0
2015-01-17,53073,0
2015-01-18,53033,8
2015-01-18,53053,0
2015-01-18,53061,0
2015-01-18,53073,0
2015-01-19,53033,16
2015-01-19,53053,0
2015-01-19,53061,1
2015-01-19,53073,0
2015-01-20,53033,18
2015-01-20,53053,0
2015-01-20,53061,0
2015-01-20,53073,0
2015-01-21,53033,24
2015-01-21,53053,1
2015-01-21,53061,0
2015-01-21,53073,0
2015-01-22,53033,32
2015-01-22,53053,0
2015-01-22,53061,0
2015-01-22,53073,0
2015-01-23,53033,35
2015-01-23,53053,1
2015-01-23,53061,1
2015-01-23,53073,0
2015-01-24,53033,27
2015-01-24,53053,0
2015-01-24,53061,0
2015-01-24,53073,0
2015-01-25,53033,43
2015-01-25,53053,1
2015-01-25,53061,0
2015-01-25,53073,0
2015-01-26,53033,48
2015-01-26,53053,0
2015-01-26,53061,1
2015-01-26,53073,0
2015-01-27,53033,85
2015-01-27,53053,0
2015-01-27,53061,1
2015-01-27,53073,0
2015-01-28,53033,62
2015-01-28,53053,2
2015-01-28,53061,1
2015-01-28,53073,0
2015-01-29,53033,115
2015-01-29,53053,0
2015-01-29,53061,0
2015-01-29,53073,0
2015-01-30,53033,121
2015-01-30,53053,0
2015-01-30,53061,0
2015-01-30,53073,0
2015-01-31,53033,135
2015-01-31,53053,1
2015-01-31,53061,1
2015-01-31,53073,0
2015-02-01,53033,175
2015-02-01,53053,1
2015-02-01,53061,1
2015-02-01,53073,0
2015-02-02,53033,201
2015-02-02,53053,0
2015-02-02,53061,2
2015-02-02,53073,0
2015-02-03,53033,231
2015-02-03,53053,2
2015-02-03,53061,5
2015-02-03,53073,0
2015-02-04,53033,314
2015-02-04,53053,4
2015-02-04,53061,3
2015-02-04,53073,0
2015-02-05,53033,365
2015-02-05,53053,2
2015-02-05,53061,4
2015-02-05,53073,0
2015-02-06,53033,404
2015-02-06,53053,4
2015-02-06,53061,4
2015-02-06,53073,0
2015-02-07,53033,504
2015-02-07,53053,4
2015-02-07,53061,5
2015-02-07,53073,0
2015-02-08,53033,627
2015-02-08,53053,10
2015-02-08,53061,10
2015-02-08,53073,0
2015-02-09,53033,682
2015-02-09,53053,7
2015-02-09,53061,7
2015-02-09,53073,0
2015-02-10,53033,866
2015-02-10,53053,16
2015-02-10,53061,11
2015-02-10,53073,0
2015-02-11,53033,883
2015-02-11,53053,13
2015-02-11,53061,15
2015-02-11,53073,0
2015-02-12,53033,1159
2015-02-12,53053,13
2015-02-12,53061,13
2015-02-12,53073,0
2015-02-13,53033,1321
2015-02-13,53053,21
2015-02-13,53061,17
2015-02-13,53073,0
2015-02-14,53033,1438
2015-02-14,53053,31
2015-02-14,53061,27
2015-02-14,53073,0
2015-02-15,53033,1662
2015-02-15,53053,36
2015-02-15,53061,23
2015-02-15,53073,0
2015-02-16,53033,1880
2015-02-16,53053,42
2015-02-16,53061,39
2015-02-16,53073,0
2015-02-17,53033,2029
2015-02-17,53053,47
