date,geoid,value
2015-01-01,04001,2
2015-01-01,04003,2
2015-01-01,04005,0
2015-01-01,04007,0
2015-01-01,04009,1
2015-01-01,04011,0
2015-01-01,04012,0
2015-01-01,04013,31
2015-01-01,04015,2
2015-01-01,04017,1
2015-01-01,04019,6
2015-01-01,04021,5
2015-01-01,04023,0
2015-01-01,04025,4
2015-01-01,04027,1
2015-01-02,04001,2
2015-01-02,04003,2
2015-01-02,04005,2
2015-01-02,04007,0
2015-01-02,04009,0
2015-01-02,04011,0
2015-01-02,04012,0
2015-01-02,04013,38
2015-01-02,04015,3
2015-01-02,04017,2
2015-01-02,04019,9
2015-01-02,04021,4
2015-01-02,04023,0
2015-01-02,04025,3
2015-01-02,04027,2
2015-01-03,04001,1
2015-01-03,04003,0
2015-01-03,04005,0
2015-01-03,04007,2
2015-01-03,04009,0
2015-01-03,04011,1
2015-01-03,04012,0
2015-01-03,04013,42
2015-01-03,04015,1
2015-01-03,04017,2
2015-01-03,04019,19
2015-01-03,04021,11
2015-01-03,04023,0
2015-01-03,04025,2
2015-01-03,04027,4
2015-01-04,04001,2
2015-01-04,04003,1
2015-01-04,04005,3
2015-01-04,04007,1
2015-01-04,04009,2
2015-01-04,04011,0
2015-01-04,04012,2
2015-01-04,04013,76
2015-01-04,04015,4
2015-01-04,04017,4
2015-01-04,04019,19
2015-01-04,04021,5
2015-01-04,04023,1
2015-01-04,04025,3
2015-01-04,04027,2
2015-01-05,04001,1
2015-01-05,04003,0
2015-01-05,04005,2
2015-01-05,04007,0
2015-01-05,04009,0
2015-01-05,04011,0
2015-01-05,04012,1
2015-01-05,04013,100
2015-01-05,04015,2
2015-01-05,04017,2
2015-01-05,04019,28
2015-01-05,04021,8
2015-01-05,04023,4
2015-01-05,04025,3
2015-01-05,04027,2
2015-01-06,04001,1
2015-01-06,04003,3
2015-01-06,04005,2
2015-01-06,04007,2
2015-01-06,04009,1
2015-01-06,04011,0
2015-01-06,04012,0
2015-01-06,04013,128
2015-01-06,04015,9
2015-01-06,04017,3
2015-01-06,04019,29
2015-01-06,04021,10
2015-01-06,04023,2
2015-01-06,04025,6
2015-01-06,04027,4
2015-01-07,04001,3
2015-01-07,04003,6
2015-01-07,04005,6
2015-01-07,04007,2
2015-01-07,04009,0
2015-01-07,04011,1
2015-01-07,04012,3
2015-01-07,04013,155
2015-01-07,04015,12
2015-01-07,04017,3
2015-01-07,04019,34
2015-01-07,04021,18
2015-01-07,04023,3
2015-01-07,04025,8
2015-01-07,04027,12
2015-01-08,04001,2
2015-01-08,04003,5
2015-01-08,04005,6
2015-01-08,04007,1
2015-01-08,04009,1
2015-01-08,04011,2
2015-01-08,04012,2
2015-01-08,04013,220
2015-01-08,04015,16
2015-01-08,04017,2
2015-01-08,04019,45
2015-01-08,04021,21
2015-01-08,04023,5
2015-01-08,04025,9
2015-01-08,04027,8
2015-01-09,04001,2
2015-01-09,04003,13
2015-01-09,04005,14
2015-01-09,04007,4
2015-01-09,04009,1
2015-01-09,04011,1
2015-01-09,04012,1
2015-01-09,04013,321
2015-01-09,04015,13
2015-01-09,04017,6
2015-01-09,04019,76
2015-01-09,04021,26
2015-01-09,04023,3
2015-01-09,04025,11
2015-01-09,04027,17
2015-01-10,04001,8
2015-01-10,04003,13
2015-01-10,04005,16
2015-01-10,04007,5
2015-01-10,04009,2
2015-01-10,04011,3
2015-01-10,04012,3
2015-01-10,04013,365
2015-01-10,04015,21
2015-01-10,04017,7
2015-01-10,04019,72
2015-01-10,04021,53
