Date,fips,Cases
2015-01-01,04,0
2015-01-02,04,8
2015-01-03,04,1
2015-01-04,04,7
2015-01-05,04,12
2015-01-06,04,5
2015-01-07,04,13
2015-01-08,04,25
2015-01-09,04,26
2015-01-10,04,30
2015-01-11,04,23
2015-01-12,04,21
2015-01-13,04,31
2015-01-14,04,50
2015-01-15,04,55
2015-01-16,04,77
2015-01-17,04,73
2015-01-18,04,100
2015-01-19,04,123
2015-01-20,04,163
2015-01-21,04,219
2015-01-22,04,207
2015-01-23,04,273
2015-01-24,04,302
2015-01-25,04,386
2015-01-26,04,464
2015-01-27,04,503
2015-01-28,04,632
2015-01-29,04,723
2015-01-30,04,882
2015-01-31,04,936
2015-02-01,04,1139
2015-02-02,04,1284
2015-02-03,04,1410
2015-02-04,04,1605
2015-02-05,04,1721
2015-02-06,04,1899
2015-02-07,04,2032
2015-02-08,04,2088
2015-02-09,04,2159
2015-02-10,04,2067
2015-02-11,04,2254
2015-02-12,04,2193
2015-02-13,04,2214
2015-02-14,04,2078
2015-02-15,04,2077
2015-02-16,04,1923
2015-02-17,04,1807
2015-02-18,04,1664
2015-02-19,04,1528
2015-02-20,04,1398
2015-02-21,04,1351
2015-02-22,04,1148
2015-02-23,04,1060
2015-02-24,04,995
2015-02-25,04,893
2015-02-26,04,803
2015-02-27,04,741
2015-02-28,04,656
2015-03-01,04,586
2015-03-02,04,532
2015-03-03,04,493
2015-03-04,04,444
2015-03-05,04,412
2015-03-06,04,313
2015-03-07,04,352
2015-03-08,04,268
2015-03-09,04,265
2015-03-10,04,239
2015-03-11,04,188
2015-03-12,04,196
2015-03-13,04,155
2015-03-14,04,157
2015-03-15,04,119
2015-03-16,04,127
2015-03-17,04,124
2015-03-18,04,126
2015-03-19,04,96
2015-03-20,04,69
2015-03-21,04,71
2015-03-22,04,70
2015-03-23,04,62
2015-03-24,04,53
2015-03-25,04,55
2015-03-26,04,52
2015-03-27,04,57
2015-03-28,04,48
2015-03-29,04,36
2015-03-30,04,34
2015-03-31,04,48
2015-04-01,04,43
2015-04-02,04,37
2015-04-03,04,27
2015-04-04,04,26
2015-04-05,04,25
2015-04-06,04,18
2015-04-07,04,20
2015-04-08,04,15
2015-04-09,04,21
2015-04-10,04,10
2015-04-11,04,20
2015-04-12,04,16
2015-04-13,04,16
2015-04-14,04,17
2015-04-15,04,13
2015-04-16,04,10
2015-04-17,04,7
2015-04-18,04,12
2015-04-19,04,10
2015-04-20,04,6
2015-04-21,04,5
2015-04-22,04,3
2015-04-23,04,11
2015-04-24,04,10
2015-04-25,04,8
2015-04-26,04,8
2015-04-27,04,2
2015-04-28,04,4
2015-04-29,04,5
2015-04-30,04,2
2015-01-01,08,0
2015-01-02,08,8
2015-01-03,08,1
2015-01-04,08,7
2015-01-05,08,12
2015-01-06,08,5
2015-01-07,08,13
2015-01-08,08,25
2015-01-09,08,26
2015-01-10,08,30
2015-01-11,08,23
2015-01-12,08,21
2015-01-13,08,31
2015-01-14,08,50
2015-01-15,08,55
2015-01-16,08,77
2015-01-17,08,73
2015-01-18,08,100
2015-01-19,08,123
2015-01-20,08,163
2015-01-21,08,219
2015-01-22,08,207
2015-01-23,08,273
2015-01-24,08,302
2015-01-25,08,386
2015-01-26,08,464
2015-01-27,08,503
2015-01-28,08,632
2015-01-29,08,723
2015-01-30,08,882
2015-01-31,08,936
2015-02-01,08,1139
2015-02-02,08,1284
2015-02-03,08,1410
2015-02-04,08,1605
2015-02-05,08,1721
2015-02-06,08,1899
2015-02-07,08,2032
2015-02-08,08,2088
2015-02-09,08,2159
2015-02-10,08,2067
2015-02-11,08,2254
2015-02-12,08,2193
2015-02-13,08,2214
2015-02-14,08,2078
2015-02-15,08,2077
2015-02-16,08,1923
2015-02-17,08,1807
2015-02-18,08,1664
2015-02-19,08,1528
2015-02-20,08,1398
2015-02-21,08,1351
2015-02-22,08,1148
2015-02-23,08,1060
2015-02-24,08,995
2015-02-25,08,893
2015-02-26,08,803
2015-02-27,08,741
2015-02-28,08,656
2015-03-01,08,586
2015-03-02,08,532
2015-03-03,08,493
2015-03-04,08,444
2015-03-05,08,412
2015-03-06,08,313
2015-03-07,08,352
2015-03-08,08,268
2015-03-09,08,265
2015-03-10,08,239
2015-03-11,08,188
2015-03-12,08,196
2015-03-13,08,155
2015-03-14,08,157
2015-03-15,08,119
2015-03-16,08,127
2015-03-17,08,124
2015-03-18,08,126
2015-03-19,08,96
2015-03-20,08,69
2015-03-21,08,71
2015-03-22,08,70
2015-03-23,08,62
2015-03-24,08,53
2015-03-25,08,55
2015-03-26,08,52
2015-03-27,08,57
2015-03-28,08,48
2015-03-29,08,36
2015-03-30,08,34
2015-03-31,08,48
2015-04-01,08,43
2015-04-02,08,37
2015-04-03,08,27
2015-04-04,08,26
2015-04-05,08,25
2015-04-06,08,18
2015-04-07,08,20
2015-04-08,08,15
2015-04-09,08,21
2015-04-10,08,10
2015-04-11,08,20
2015-04-12,08,16
2015-04-13,08,16
2015-04-14,08,17
2015-04-15,08,13
2015-04-16,08,10
2015-04-17,08,7
2015-04-18,08,12
2015-04-19,08,10
2015-04-20,08,6
2015-04-21,08,5
2015-04-22,08,3
2015-04-23,08,11
2015-04-24,08,10
2015-04-25,08,8
2015-04-26,08,8
2015-04-27,08,2
2015-04-28,08,4
2015-04-29,08,5
2015-04-30,08,2
2015-01-01,35,0
2015-01-02,35,8
2015-01-03,35,1
2015-01-04,35,7
2015-01-05,35,12
2015-01-06,35,5
2015-01-07,35,13
2015-01-08,35,25
2015-01-09,35,26
2015-01-10,35,30
2015-01-11,35,23
2015-01-12,35,21
2015-01-13,35,31
2015-01-14,35,50
2015-01-15,35,55
2015-01-16,35,77
2015-01-17,35,73
2015-01-18,35,100
2015-01-19,35,123
2015-01-20,35,163
2015-01-21,35,219
2015-01-22,35,207
2015-01-23,35,273
2015-01-24,35,302
2015-01-25,35,386
2015-01-26,35,464
2015-01-27,35,503
2015-01-28,35,632
2015-01-29,35,723
2015-01-30,35,882
2015-01-31,35,936
2015-02-01,35,1139
2015-02-02,35,1284
2015-02-03,35,1410
2015-02-04,35,1605
2015-02-05,35,1721
2015-02-06,35,1899
2015-02-07,35,2032
2015-02-08,35,2088
2015-02-09,35,2159
2015-02-10,35,2067
2015-02-11,35,2254
2015-02-12,35,2193
2015-02-13,35,2214
2015-02-14,35,2078
2015-02-15,35,2077
2015-02-16,35,1923
2015-02-17,35,1807
2015-02-18,35,1664
2015-02-19,35,1528
2015-02-20,35,1398
2015-02-21,35,1351
2015-02-22,35,1148
2015-02-23,35,1060
2015-02-24,35,995
2015-02-25,35,893
2015-02-26,35,803
2015-02-27,35,741
2015-02-28,35,656
2015-03-01,35,586
2015-03-02,35,532
2015-03-03,35,493
2015-03-04,35,444
2015-03-05,35,412
2015-03-06,35,313
2015-03-07,35,352
2015-03-08,35,268
2015-03-09,35,265
2015-03-10,35,239
2015-03-11,35,188
2015-03-12,35,196
2015-03-13,35,155
2015-03-14,35,157
2015-03-15,35,119
2015-03-16,35,127
2015-03-17,35,124
2015-03-18,35,126
2015-03-19,35,96
2015-03-20,35,69
2015-03-21,35,71
2015-03-22,35,70
2015-03-23,35,62
2015-03-24,35,53
2015-03-25,35,55
2015-03-26,35,52
2015-03-27,35,57
2015-03-28,35,48
2015-03-29,35,36
2015-03-30,35,34
2015-03-31,35,48
2015-04-01,35,43
2015-04-02,35,37
2015-04-03,35,27
2015-04-04,35,26
2015-04-05,35,25
2015-04-06,35,18
2015-04-07,35,20
2015-04-08,35,15
2015-04-09,35,21
2015-04-10,35,10
2015-04-11,35,20
2015-04-12,35,16
2015-04-13,35,16
2015-04-14,35,17
2015-04-15,35,13
2015-04-16,35,10
2015-04-17,35,7
2015-04-18,35,12
2015-04-19,35,10
2015-04-20,35,6
2015-04-21,35,5
2015-04-22,35,3
2015-04-23,35,11
2015-04-24,35,10
2015-04-25,35,8
2015-04-26,35,8
2015-04-27,35,2
2015-04-28,35,4
2015-04-29,35,5
2015-04-30,35,2
